Designator,Mid X,Mid Y,Rotation,Layer
BT1,151.995,-147.32,180.0,top
C1,178.308,-72.07,270.0,top
C10,196.088,-104.14,270.0,top
C11,174.752,-120.142,270.0,top
C12,187.96,-132.08,270.0,top
C2,173.736,-72.07,270.0,top
C3,147.32,-65.024,0.0,top
C4,132.0,-54.0,0.0,top
C5,134.5,-57.0,180.0,top
C6,119.634,-131.318,270.0,top
C7,199.39,-60.386,90.0,top
C8,196.596,-60.386,90.0,top
C9,187.452,-121.346,270.0,top
D1,169.0,-116.84,0.0,top
D2,135.0,-116.84,0.0,top
D3,182.118,-110.998,90.0,top
D4,194.564,-115.815,90.0,top
D5,191.008,-115.824,90.0,top
D6,187.452,-115.815,90.0,top
J1,152.0,-93.98,0.0,top
J2,117.0,-48.0,0.0,top
J3,187.0,-48.0,0.0,top
P1,202.946,-99.06,90.0,top
Q1,152.0,-49.5,90.0,top
Q2,178.054,-117.602,90.0,top
R1,199.898,-51.054,270.0,top
R10,144.78,-61.976,0.0,top
R11,152.4,-66.548,180.0,top
R12,132.0,-48.0,180.0,top
R13,172.0,-48.0,180.0,top
R14,127.0,-53.0,270.0,top
R15,137.0,-53.0,90.0,top
R16,119.634,-125.984,90.0,top
R17,180.34,-126.746,270.0,top
R18,189.484,-104.14,90.0,top
R19,187.452,-110.236,270.0,top
R2,196.342,-51.054,270.0,top
R20,192.786,-104.156,90.0,top
R21,184.404,-121.412,90.0,top
R22,191.008,-110.236,90.0,top
R23,194.564,-110.236,90.0,top
R24,197.866,-122.698,90.0,top
R25,197.866,-110.236,270.0,top
R3,137.668,-124.968,270.0,top
R4,140.208,-124.968,270.0,top
R5,142.748,-124.968,270.0,top
R6,180.34,-66.548,270.0,top
R7,176.276,-66.532,270.0,top
R8,169.672,-72.12,90.0,top
R9,141.732,-65.024,0.0,top
SW1,152.0,-124.21,270.0,top
SW2,132.0,-129.21,270.0,top
SW3,172.0,-129.21,270.0,top
U1,162.5625,-72.3625,270.0,top
U2,131.5,-62.0,0.0,top
U3,193.675,-73.66,270.0,top
U4,178.054,-111.252,270.0,top
U5,192.532,-122.682,270.0,top
